20220509	19:15:08 	 324c2a2f-9568-42de-8216-8868b2ba37a8 	 GET 	 undefined 	/favicon.ico
20220509	19:22:15 	 04496fba-ffc1-48b1-a078-7154dbe4b364 	 GET 	 undefined 	/
20220509	19:22:15 	 e390ad89-8f4d-40a0-927e-68ee453508b6 	 GET 	 undefined 	/css/style.css
20220509	19:22:15 	 aec2b483-0011-4c81-9828-41642cbdf8d2 	 GET 	 undefined 	/favicon.ico
20220509	19:22:43 	 2941f069-6f35-4384-bcee-deee34fc1a16 	 GET 	 undefined 	/
20220509	19:22:43 	 a1d00bf4-02e6-42ac-916e-ac0379f61fe8 	 GET 	 undefined 	/css/style.css
20220509	19:22:43 	 0d8eb7bb-baa7-4aea-a74f-6c6327a302ca 	 GET 	 undefined 	/favicon.ico
20220509	19:25:51 	 0c446c6d-bca3-4803-bf57-8bd3a0903ea5 	 GET 	 undefined 	/
20220509	19:25:51 	 1c3e3869-0b1e-498a-955d-9017670d7e55 	 GET 	 undefined 	/css/style.css
20220509	19:25:51 	 6ba07696-da3a-4f2e-a00d-13f128577676 	 GET 	 undefined 	/favicon.ico
20220509	20:37:27 	 a9a8b636-6e25-4376-8ade-f678a2d06618 	 GET 	 undefined 	/
20220509	20:37:36 	 88fb9a61-9978-40c2-8fd8-d582400d334a 	 GET 	 undefined 	/states
20220509	20:37:53 	 5ec3f9ee-c272-4eea-a8ff-4d390c645eb6 	 GET 	 undefined 	/
20220509	20:38:19 	 1a1eb5bd-719e-4ddf-a7fe-f88178bfe677 	 GET 	 undefined 	/state
20220509	20:38:32 	 1e860ffd-2f2b-4aff-bb7d-f363cbeaafda 	 GET 	 undefined 	/states
20220509	20:39:10 	 40123456-b480-452c-8eea-9955622cab63 	 GET 	 undefined 	/state/OR
20220509	20:39:17 	 0630269c-f9d6-456e-80fa-a073e62fa0f1 	 GET 	 undefined 	/state/OR
20220509	20:41:18 	 01e6d1aa-7eb6-48fd-80df-99bf15a72898 	 GET 	 undefined 	/states
20220509	20:41:48 	 784bce42-1fde-420e-a0f8-cbebed65924c 	 GET 	 undefined 	/states
20220509	20:42:27 	 62fcc53d-2924-45a9-bdc2-366ba9a8c7f6 	 GET 	 undefined 	/states
20220509	20:43:50 	 34143b89-fad9-4de0-84d2-140424241bd8 	 GET 	 undefined 	/
20220509	20:43:50 	 549328ad-8cc3-468b-91b3-76694af34d76 	 GET 	 undefined 	/css/style.css
20220509	20:43:50 	 dfed3408-350b-4454-8df7-18dace1f4181 	 GET 	 undefined 	/favicon.ico
20220509	20:44:04 	 29e04124-30e8-40a3-8052-9e1ec7696c75 	 GET 	 undefined 	/states
20220509	20:44:57 	 5f64e1ef-f026-4ddf-b75c-0d8376eb073f 	 GET 	 undefined 	/states/OR
20220509	20:45:27 	 419609e1-22fb-48a2-a805-0fdfe178f899 	 GET 	 undefined 	/states/OR
20220509	20:46:25 	 bf9ec327-fd33-49b6-bc0a-c46048170a37 	 GET 	 undefined 	/states/OR
20220509	20:48:50 	 caed174d-ff54-41f4-9d3b-8afab5dd9d64 	 GET 	 undefined 	/states/OR
20220509	20:51:00 	 32d73536-bb12-4fe2-9281-4f2cf2f59e40 	 GET 	 undefined 	/states/OR
20220509	20:52:00 	 4124557c-f1f5-4b4f-9210-72cb375b8131 	 GET 	 undefined 	/states/OR
20220509	20:58:33 	 30fa26a3-992d-44f1-8181-c081c26833e9 	 GET 	 undefined 	/states/OR
20220509	21:00:05 	 9cbaec0c-303a-4538-bfd4-a211bbc9bf0a 	 GET 	 undefined 	/states/OR
20220509	21:00:47 	 113b2da9-903b-4d4e-a359-760c2e00e280 	 GET 	 undefined 	/states/OR
20220509	21:02:04 	 9d905bfd-1fdf-43d8-8b37-2048a9eef1fc 	 GET 	 undefined 	/states/OR
20220509	21:02:52 	 e4eeed9f-7209-4438-9c0a-93e543e34218 	 GET 	 undefined 	/states/OR
20220509	21:04:29 	 72205782-aae9-4813-962c-63b28da12aa5 	 GET 	 undefined 	/states/OR
20220509	21:05:04 	 901e145a-cf21-4151-be20-c42ab29ac21c 	 GET 	 undefined 	/states/OR/capital
20220509	21:06:01 	 759ae7f7-317d-4a3d-b2b0-1c0c73adfd78 	 GET 	 undefined 	/states/OR/capital
20220509	21:06:33 	 e74c7cc6-54b0-44fb-971f-af27696b62ab 	 GET 	 undefined 	/states/OR/capital
20220509	21:07:08 	 4e5d7410-9714-402d-89ed-34bb2288304c 	 GET 	 undefined 	/states/OR/capital
20220509	21:07:38 	 98b07d35-d647-4cab-8744-fa83d4c5db48 	 GET 	 undefined 	/states/OR/capital
20220509	21:08:43 	 8d6ea6e9-8e31-4747-b9fe-7ed0f1eb4d58 	 GET 	 undefined 	/states/OR/capital
20220509	21:09:36 	 79166218-234b-4903-91fc-df10ddac0df8 	 GET 	 undefined 	/states/OR/capital
20220509	21:09:42 	 1eb37f0e-2d82-4448-9996-8b841459f98f 	 GET 	 undefined 	/states/OR/nickname
20220509	21:09:51 	 3cfb3554-8719-445a-ac1d-f6d3585604f3 	 GET 	 undefined 	/states/OR/admission
20220509	21:10:06 	 48086d61-09f2-42c8-88b8-d6ac4f412a02 	 GET 	 undefined 	/states/Or/admission
20220509	21:10:10 	 94e531b9-1fbc-486b-a895-ad93b04bf366 	 GET 	 undefined 	/states/Or/admission
20220509	21:11:03 	 c7f7a51d-0d22-41d9-a946-bfeab653dfba 	 GET 	 undefined 	/states/Or/admission
20220509	21:11:17 	 6e3c155e-7a57-45d9-829d-874897146677 	 GET 	 undefined 	/states/Or
20220509	21:11:59 	 a7be6845-5047-4462-b97d-61c92797890b 	 GET 	 undefined 	/states/Or
20220509	21:14:54 	 70b51ca4-e259-46ec-8676-2c99750ad05e 	 GET 	 undefined 	/states/Or
20220509	21:16:34 	 3d092f23-10e9-41bf-86a6-b0a596052226 	 GET 	 undefined 	/states/Or
20220509	21:19:30 	 6563ef95-464f-435d-abd0-30052dca2e0f 	 GET 	 undefined 	/states/Or
20220509	21:19:44 	 6bd89b65-b449-4d8f-a8c1-db24681401ca 	 GET 	 undefined 	/states/Or
20220509	21:19:59 	 2354a791-bb4b-4cf5-b52e-927de62183b2 	 GET 	 undefined 	/states/Or
20220509	21:20:07 	 755e7c52-5110-4de8-b6ce-e7b5b6defbb7 	 GET 	 undefined 	/states/Or/nickname
20220509	21:20:11 	 f0ef7a74-0657-4696-afe1-92300b91ca53 	 GET 	 undefined 	/states/Or/admission
20220509	21:20:19 	 00e538c4-aa8c-4514-a6a0-819afd3fc3ad 	 GET 	 undefined 	/states/Or/admission
20220509	21:20:20 	 93e60a92-13f0-4302-b54f-0cda0ec17626 	 GET 	 undefined 	/states/Or/admission
20220509	21:20:20 	 a1ad8358-e6c6-4e91-a037-00f191848b9d 	 GET 	 undefined 	/states/Or/admission
20220509	21:20:21 	 9d23198a-41a8-4385-941c-2eae63923a22 	 GET 	 undefined 	/states/Or/admission
20220509	21:20:39 	 f27a7ecf-1b52-4914-a20b-76c959109511 	 GET 	 undefined 	/states/Or/population
20220509	21:20:55 	 38572b47-8c12-42ee-8b16-145bdd9ef087 	 GET 	 undefined 	/states/Or/population
20220509	21:20:59 	 c761ebf0-707f-4c4e-bc04-21d9daf58a0a 	 GET 	 undefined 	/states/Or/nickname
20220509	21:21:03 	 2008ea4b-5ffb-4ea0-8147-563c4bd9a06b 	 GET 	 undefined 	/states/Or/capital
20220509	21:21:15 	 8205f22d-8de6-4ba6-a6db-5cd6d70a1e5d 	 GET 	 undefined 	/states/Or/admission
20220509	21:21:19 	 6970fdf2-9e88-4093-b7ee-9fa7b32d82ae 	 GET 	 undefined 	/states/or/admission
20220509	21:21:40 	 0812db67-5126-49ce-8f5f-0d3b9061479b 	 GET 	 undefined 	/states/or/ad
20220509	21:21:48 	 3cbd95b6-6d76-40cd-bd10-d27517b4f923 	 GET 	 undefined 	/states/oz
20220509	21:21:50 	 8fc659c1-7ba6-42c1-adff-cd2ebe04fd5d 	 GET 	 undefined 	/states/oz
20220509	21:23:35 	 9fdbdae2-f2e8-485c-b8d2-70dfd5184e59 	 GET 	 undefined 	/states/oz
20220509	21:23:53 	 0d405d98-0a7a-4aab-a907-1b77f3658faa 	 GET 	 undefined 	/states/or
20220509	21:23:55 	 9ed5f731-1cfa-440d-8da6-05c605a861b6 	 GET 	 undefined 	/states/oz
20220509	21:24:15 	 c00e1320-8bf2-4fe5-bdd6-97ca2f2c24ec 	 GET 	 undefined 	/states/oz
20220509	21:24:46 	 17b61e05-536f-495d-bb99-4f13eb6005c1 	 GET 	 undefined 	/states/oz
20220509	21:25:09 	 3bd0a2c6-80e0-4b80-8a19-020365782377 	 GET 	 undefined 	/states/oz
20220509	21:25:52 	 e0c26e24-0640-4a83-8cf2-186afbfbc1f1 	 GET 	 undefined 	/states/oz
20220509	21:26:58 	 865b0692-d37e-4d50-9325-125718bc7b7a 	 GET 	 undefined 	/states/oz
20220509	21:31:55 	 facf8358-6706-4154-a593-ded4778c6873 	 PATCH 	 undefined 	/states/OR/funfact
20220509	21:32:21 	 1eb751ec-44ba-477d-bfc8-306da33951eb 	 GET 	 undefined 	/states/OR/funfact
20220509	21:32:22 	 81fcffe0-0549-42ed-86e1-e4448fac3319 	 GET 	 undefined 	/states/OR/funfact
20220509	21:32:41 	 1747dad1-4f55-41f5-b7dd-ce6a2ecd95b9 	 GET 	 undefined 	/states/OR/funfact
20220509	21:33:11 	 30e099a1-b3d8-4639-afd9-6577d41136f8 	 GET 	 undefined 	/states/OR/
20220509	21:33:26 	 170dd231-9f20-468b-8573-b25c4a58fe62 	 GET 	 undefined 	/states/OR/
20220509	21:33:31 	 4e639a47-3d38-48ad-835b-1aec1730cea8 	 GET 	 undefined 	/states/OR/funfact
20220509	21:34:09 	 0b1fa351-6b0e-4596-b4ae-fbdca87b9a8e 	 POST 	 undefined 	/states/OR/funfact
20220509	21:34:58 	 c9530598-4679-475f-b043-5e18aab876d7 	 POST 	 undefined 	/states/OR/funfact
20220509	21:37:36 	 51c247dd-3935-4d32-9e2e-16abd1b8a842 	 POST 	 undefined 	/states/OR/funfact
20220509	21:37:45 	 a4565fb7-e769-4f68-9473-bab44df1a3d9 	 GET 	 undefined 	/states/OR/funfact
20220509	21:38:07 	 5aecb37d-a038-4d5a-a049-0b51eb52783b 	 GET 	 undefined 	/states/OR/funfact
20220509	21:38:10 	 c30c2826-f355-4b87-951e-adc086e7162a 	 POST 	 undefined 	/states/OR/funfact
20220509	21:38:53 	 fc1efc96-62ad-4b60-8b54-5d3a4b6aef75 	 POST 	 undefined 	/states/OR/funfact
20220509	21:39:42 	 78385c64-801c-4d81-b7bc-8025c53c0101 	 POST 	 undefined 	/states/OR/funfact
20220509	21:40:03 	 f97eb1cd-8929-473a-aae7-2c9040bbab3c 	 POST 	 undefined 	/states/OR/funfact
20220509	21:45:30 	 508d292b-d4e8-44a3-b003-26f8f1ec1c9a 	 POST 	 undefined 	/states/OR/funfact
20220509	21:45:45 	 9a567a1b-819d-451b-b5b8-b3bd9c15583d 	 POST 	 undefined 	/states/OR/funfact
20220509	21:46:44 	 3382c253-398f-493f-836c-1ea81bbc5cb7 	 POST 	 undefined 	/states/OR/funfact
20220509	21:46:50 	 949efd02-399f-45d5-8127-66b9b9d34bcd 	 POST 	 undefined 	/states/OR/funfact
20220509	21:46:55 	 a8b53585-4042-4072-86e5-aab0e7270a9c 	 POST 	 undefined 	/states/OR/funfact
20220509	21:47:08 	 2dc152a1-d70c-484e-8e7c-b1084806fd08 	 POST 	 undefined 	/states/OR/funfact
20220509	21:47:09 	 5af844b7-70b9-4ace-81d2-4d7278d2a6d1 	 POST 	 undefined 	/states/OR/funfact
20220509	21:47:25 	 db33d5a9-fbb3-4284-b822-b638d16f2725 	 DELETE 	 undefined 	/states/OR/funfact
20220509	21:49:02 	 f9ef972e-7382-4f4c-8b7b-883a99c135a9 	 POST 	 undefined 	/states/OR/funfact
20220509	21:49:04 	 93287e36-31ef-4dcd-a172-8a624288a810 	 POST 	 undefined 	/states/OR/funfact
20220509	21:49:06 	 985e64ea-f099-4021-95eb-a2e7a1417bcc 	 POST 	 undefined 	/states/OR/funfact
20220509	21:49:07 	 907587f1-4c4d-4c0a-a90f-a5167298bf0f 	 POST 	 undefined 	/states/OR/funfact
20220509	21:49:25 	 ec214e2e-6cb2-40d2-a9d5-823257b77d51 	 PATCH 	 undefined 	/states/OR/funfact
20220509	21:49:51 	 ba319700-b7d6-43b6-841e-195b554e4f28 	 PATCH 	 undefined 	/states/OR/funfact
20220509	21:50:34 	 9204d3a8-3984-4db7-bddd-f1093293f561 	 PATCH 	 undefined 	/states/OR/funfact
20220509	21:50:40 	 16d96312-00ca-44da-8598-17a1936cb5b4 	 GET 	 undefined 	/states/OR/funfact
20220509	21:50:46 	 7214dd87-d87e-410d-b58a-d7cd4c58e601 	 POST 	 undefined 	/states/OR/funfact
20220509	21:51:32 	 22e2937e-0cc5-4217-8bfc-a55d3db8ad2c 	 POST 	 undefined 	/states/OR/funfact
20220509	21:52:18 	 17e2cbc2-ec57-47af-8b25-159c6eadcfd1 	 POST 	 undefined 	/states/OR/funfact
20220509	21:52:21 	 e6fbc21c-a12f-47b7-b427-a41c3de54656 	 PATCH 	 undefined 	/states/OR/funfact
20220509	21:52:27 	 0b84ba4e-7ef2-4024-84b4-d5ac92a163ea 	 PATCH 	 undefined 	/states/OR/funfact
20220509	21:53:11 	 d8e2358f-2386-4928-91f9-7619be692901 	 PATCH 	 undefined 	/states/OR/funfact
20220509	21:53:53 	 154b7d8c-61a6-403d-beca-ed1ea96e4dff 	 PATCH 	 undefined 	/states/OR/funfact
20220509	22:21:47 	 b388f0bc-bc3c-4e54-9c29-28359ebe8b10 	 PATCH 	 undefined 	/states/OR/funfact
20220509	22:21:52 	 5ce6a21d-96e1-4931-b000-ff0dd354c2e1 	 PATCH 	 undefined 	/states/OR/funfact
